fdc_id,display_name,description,food_category_id,category_name,protein_g,fat_g,carbs_g,calories_kcal,fiber_g,sodium_mg,serving_size_g,serving_amount,serving_unit
169238,"Kale, cooked, boiled","Kale, cooked, boiled, drained, without salt",11,Vegetables and Vegetable Products,2.94,1.21,5.3,36.0,4.0,16.0,118.0,1.0,cup
169247,"Lettuce, romaine, raw","Lettuce, cos or romaine, raw",11,Vegetables and Vegetable Products,1.23,0.3,3.29,17.0,2.1,8.0,47.0,1.0,cup shredded
169252,"Mushrooms, white, cooked, boiled","Mushrooms, white, cooked, boiled, drained, without salt",11,Vegetables and Vegetable Products,2.17,0.47,5.29,28.0,2.2,2.0,156.0,1.0,cup pieces
170000,"Onions, raw","Onions, raw",11,Vegetables and Vegetable Products,1.1,0.1,9.34,40.0,1.7,4.0,160.0,1.0,"cup, chopped"
170420,"Peas, green, cooked, boiled","Peas, green, cooked, boiled, drained, without salt",11,Vegetables and Vegetable Products,5.36,0.22,15.63,84.0,5.5,3.0,160.0,1.0,cup
170427,"Peppers, sweet, green, raw","Peppers, sweet, green, raw",11,Vegetables and Vegetable Products,0.86,0.17,4.64,20.0,1.7,3.0,149.0,1.0,"cup, chopped"
170108,"Peppers, sweet, red, raw","Peppers, sweet, red, raw",11,Vegetables and Vegetable Products,0.99,0.3,6.03,26.0,2.1,4.0,149.0,1.0,"cup, chopped"
170440,"Potatoes, boiled, without skin","Potatoes, boiled, cooked without skin, flesh, without salt",11,Vegetables and Vegetable Products,1.71,0.1,20.01,86.0,1.8,5.0,78.0,0.5,cup
168463,"Spinach, cooked, boiled","Spinach, cooked, boiled, drained, without salt",11,Vegetables and Vegetable Products,2.97,0.26,3.75,23.0,2.4,70.0,180.0,1.0,cup
168483,"Sweet potato, baked in skin","Sweet potato, cooked, baked in skin, flesh, without salt",11,Vegetables and Vegetable Products,2.01,0.15,20.71,90.0,3.3,36.0,200.0,1.0,cup
170457,"Tomatoes, red, raw","Tomatoes, red, ripe, raw, year round average",11,Vegetables and Vegetable Products,0.88,0.2,3.89,18.0,1.2,5.0,149.0,1.0,cup cherry tomatoes
168470,"Zucchini, cooked, boiled","Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",11,Vegetables and Vegetable Products,1.15,0.13,3.56,17.0,1.3,2.0,223.0,1.0,cup
90001,"Whey protein isolate, unflavored","Whey protein isolate, unflavored (manual entry)",1,Dairy and Egg Products,90.0,1.0,3.0,370.0,0.0,150.0,30.0,1.0,scoop
90002,"Whey protein concentrate, unflavored","Whey protein concentrate, unflavored (manual entry)",1,Dairy and Egg Products,80.0,5.0,10.0,400.0,0.0,180.0,30.0,1.0,scoop
90003,"Rice, basmati, cooked","Rice, basmati, cooked (manual entry)",20,Cereal Grains and Pasta,2.7,0.3,28.0,130.0,0.4,1.0,185.0,1.0,cup cooked
90004,"Granola, plain, homemade-style","Granola, plain, homemade-style (manual entry)",8,Breakfast Cereals,15.0,24.0,53.0,490.0,8.6,22.0,50.0,0.5,cup
90005,"Bread, Egyptian baladi (eish baladi)","Bread, Egyptian baladi (eish baladi), whole wheat (manual entry)",18,Baked Products,10.1,1.3,52.7,257.0,1.3,304.0,90.0,1.0,loaf
90006,"Bread, brown, whole grain","Bread, brown, whole grain (manual entry)",18,Baked Products,8.5,2.8,53.5,245.0,4.2,380.0,30.0,1.0,slice
90007,"Turkey breast, deli slices","Turkey breast, deli slices, prepackaged (manual entry)",5,Poultry Products,15.0,4.0,2.0,104.0,0.0,600.0,56.0,2.0,slices
90008,"Protein bar, average","Protein bar, average macros (manual entry)",19,Sweets,23.0,11.0,44.0,374.0,6.0,195.0,60.0,1.0,bar
90009,"Sauce, BBQ, regular","Sauce, barbecue (BBQ), regular (manual entry)",6,"Soups, Sauces, and Gravies",0.8,0.6,41.5,172.0,0.9,985.0,34.0,2.0,tbsp
